"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  Eu como usuário do sistema
  Desejo realizar o login no sistema
  Para realizar minhas tarefas","563","Login inválido - Informe usuário e senha!","","Thu May 08 13:12:51 GMT 2025","passed","Thu May 08 13:12:52 GMT 2025","","Login","Login inválido - Informe usuário e senha!",""
"  Eu como usuário do sistema
  Desejo realizar o login no sistema
  Para realizar minhas tarefas","5555","Login inválido - FALHA PROPOSITAL!","","Thu May 08 13:12:52 GMT 2025","failed","Thu May 08 13:12:57 GMT 2025","","Login","Login inválido - FALHA PROPOSITAL!",""
"  Eu como usuário do sistema
  Desejo realizar o login no sistema
  Para realizar minhas tarefas","13510","Login inválido - Informe a senha!","","Thu May 08 13:12:36 GMT 2025","passed","Thu May 08 13:12:50 GMT 2025","","Login","Login inválido - Informe a senha!",""
"  Eu como usuário do sistema
  Desejo realizar o login no sistema
  Para realizar minhas tarefas","563","Login inválido - Informe o usuário!","","Thu May 08 13:12:50 GMT 2025","passed","Thu May 08 13:12:50 GMT 2025","","Login","Login inválido - Informe o usuário!",""
"  Eu como usuário do sistema
  Desejo realizar o login no sistema
  Para realizar minhas tarefas","548","Login inválido - Usuário e/ou senha incorretos!","","Thu May 08 13:12:50 GMT 2025","passed","Thu May 08 13:12:51 GMT 2025","","Login","Login inválido - Usuário e/ou senha incorretos!",""
