"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  Eu como usuário do sistema
  Desejo realizar o login no sistema
  Para realizar minhas tarefas","13396","Login inválido - Informe a senha!","","Sun May 25 17:07:20 GMT 2025","passed","Sun May 25 17:07:33 GMT 2025","","Login","Login inválido - Informe a senha!",""
"  Eu como usuário do sistema
  Desejo realizar o login no sistema
  Para realizar minhas tarefas","530","Login inválido - Informe usuário e senha!","","Sun May 25 17:07:35 GMT 2025","passed","Sun May 25 17:07:35 GMT 2025","","Login","Login inválido - Informe usuário e senha!",""
"  Eu como usuário do sistema
  Desejo realizar o login no sistema
  Para realizar minhas tarefas","568","Login inválido - Informe o usuário!","","Sun May 25 17:07:33 GMT 2025","passed","Sun May 25 17:07:34 GMT 2025","","Login","Login inválido - Informe o usuário!",""
"  Eu como usuário do sistema
  Desejo realizar o login no sistema
  Para realizar minhas tarefas","5553","Login inválido - FALHA PROPOSITAL!","","Sun May 25 17:07:35 GMT 2025","failed","Sun May 25 17:07:41 GMT 2025","","Login","Login inválido - FALHA PROPOSITAL!",""
"  Eu como usuário do sistema
  Desejo realizar o login no sistema
  Para realizar minhas tarefas","546","Login inválido - Usuário e/ou senha incorretos!","","Sun May 25 17:07:34 GMT 2025","passed","Sun May 25 17:07:35 GMT 2025","","Login","Login inválido - Usuário e/ou senha incorretos!",""
