"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  Eu como usuário do sistema
  Desejo realizar o login no sistema
  Para realizar minhas tarefas","13773","Login inválido - Informe a senha!","","Thu May 08 13:00:02 GMT 2025","passed","Thu May 08 13:00:15 GMT 2025","","Login","Login inválido - Informe a senha!",""
"  Eu como usuário do sistema
  Desejo realizar o login no sistema
  Para realizar minhas tarefas","5550","Login inválido - FALHA PROPOSITAL!","","Thu May 08 13:00:17 GMT 2025","failed","Thu May 08 13:00:23 GMT 2025","","Login","Login inválido - FALHA PROPOSITAL!",""
"  Eu como usuário do sistema
  Desejo realizar o login no sistema
  Para realizar minhas tarefas","549","Login inválido - Usuário e/ou senha incorretos!","","Thu May 08 13:00:16 GMT 2025","passed","Thu May 08 13:00:17 GMT 2025","","Login","Login inválido - Usuário e/ou senha incorretos!",""
"  Eu como usuário do sistema
  Desejo realizar o login no sistema
  Para realizar minhas tarefas","558","Login inválido - Informe o usuário!","","Thu May 08 13:00:15 GMT 2025","passed","Thu May 08 13:00:16 GMT 2025","","Login","Login inválido - Informe o usuário!",""
"  Eu como usuário do sistema
  Desejo realizar o login no sistema
  Para realizar minhas tarefas","558","Login inválido - Informe usuário e senha!","","Thu May 08 13:00:17 GMT 2025","passed","Thu May 08 13:00:17 GMT 2025","","Login","Login inválido - Informe usuário e senha!",""
